year;month;mean_month_NDVI_L;mean_month_NDVI_J;mean_month_NDVI_M;Time;Date;NDVI_APrev_J
2003;1;0,108427826;0,102822852;0,103210842;1;01/01/2003;-0,0100598
2003;2;0,121615088;0,104205726;0,101726801;2;01/02/2003;0,01489603
2003;3;0,115722727;0,104953218;0,103838619;3;01/03/2003;0,03399967
2003;4;0,139191473;0,125547171;0,122943435;4;01/04/2003;0,03099544
2003;5;0,188746079;0,171568796;0,164917455;5;01/05/2003;0,0144516
2003;6;0,169846767;0,162296234;0,156555973;6;01/06/2003;0,003715767
2003;7;0,145950926;0,14014183;0,136975742;7;01/07/2003;-0,003675866
2003;8;0,128668815;0,123642274;0,122024779;8;01/08/2003;-0,009085504
2003;9;0,12166074;0,117544029;0,1161081;9;01/09/2003;-0,01467673
2003;10;0,113808374;0,110625803;0,109132663;10;01/10/2003;-0,02188562
2003;11;0,112103125;0,108183458;0,106820299;11;01/11/2003;-0,02452206
2003;12;0,113106805;0,109176105;0,107958855;12;01/12/2003;-0,0194231
2004;1;0,127880712;0,11405657;0,112014781;13;01/01/2004;-0,0100598
2004;2;0,165947116;0,14567858;0,142606546;14;01/02/2004;0,01489603
2004;3;0,169045587;0,16683723;0,169643872;15;01/03/2004;0,03399967
2004;4;0,149881485;0,149703563;0,152352179;16;01/04/2004;0,03099544
2004;5;0,129937229;0,129902021;0,132121515;17;01/05/2004;0,0144516
2004;6;0,124515512;0,123122337;0,125092827;18;01/06/2004;0,003715767
2004;7;0,123807661;0,121902576;0,124333461;19;01/07/2004;-0,003675866
2004;8;0,120200781;0,118321255;0,121237058;20;01/08/2004;-0,009085504
2004;9;0,117592034;0,116218468;0,118418614;21;01/09/2004;-0,01467673
2004;10;0,10455262;0,10276977;0,104386811;22;01/10/2004;-0,02188562
2004;11;0,121307329;0,122171917;0,122759402;23;01/11/2004;-0,02452206
2004;12;0,131554451;0,135737145;0,138769442;24;01/12/2004;-0,0194231
2005;1;0,157997575;0,158738964;0,156745521;25;01/01/2005;-0,0100598
2005;2;0,167801861;0,1618046;0,160610591;26;01/02/2005;0,01489603
2005;3;0,189504746;0,19069859;0,189169535;27;01/03/2005;0,03399967
2005;4;0,188108493;0,193275096;0,189187783;28;01/04/2005;0,03099544
2005;5;0,152250867;0,154197973;0,152364972;29;01/05/2005;0,0144516
2005;6;0,136204814;0,136734754;0,136691391;30;01/06/2005;0,003715767
2005;7;0,127558686;0,128949617;0,130184029;31;01/07/2005;-0,003675866
2005;8;0,125479969;0,127049871;0,127978615;32;01/08/2005;-0,009085504
2005;9;0,12043455;0,121175574;0,121765469;33;01/09/2005;-0,01467673
2005;10;0,115878097;0,117850475;0,119058333;34;01/10/2005;-0,02188562
2005;11;0,110957586;0,114221041;0,116679348;35;01/11/2005;-0,02452206
2005;12;0,116789332;0,120563648;0,121875147;36;01/12/2005;-0,0194231
2006;1;0,142925338;0,140088843;0,138876147;37;01/01/2006;-0,0100598
2006;2;0,21896107;0,192508404;0,185632527;38;01/02/2006;0,01489603
2006;3;0,234147522;0,203231183;0,19504676;39;01/03/2006;0,03399967
2006;4;0,206074115;0,174809046;0,170981174;40;01/04/2006;0,03099544
2006;5;0,163210342;0,15001964;0,148365835;41;01/05/2006;0,0144516
2006;6;0,142016093;0,131991896;0,13160162;42;01/06/2006;0,003715767
2006;7;0,133595748;0,125699539;0,125581192;43;01/07/2006;-0,003675866
2006;8;0,129548249;0,122391291;0,121069081;44;01/08/2006;-0,009085504
2006;9;0,124355253;0,118442602;0,116811669;45;01/09/2006;-0,01467673
2006;10;0,118659359;0,112006829;0,110821257;46;01/10/2006;-0,02188562
2006;11;0,111408039;0,105517375;0,104591576;47;01/11/2006;-0,02452206
2006;12;0,114184725;0,108455422;0,107998222;48;01/12/2006;-0,0194231
2007;1;0,109928447;0,106141618;0,106697045;49;01/01/2007;-0,0100598
2007;2;0,113554623;0,110965907;0,112678718;50;01/02/2007;0,01489603
2007;3;0,114657711;0,111442133;0,112731004;51;01/03/2007;0,03399967
2007;4;0,114125436;0,11029625;0,110948033;52;01/04/2007;0,03099544
2007;5;0,114580996;0,111301548;0,111827476;53;01/05/2007;0,0144516
2007;6;0,115169412;0,111486233;0,111876853;54;01/06/2007;0,003715767
2007;7;0,1128006;0,110150847;0,110498455;55;01/07/2007;-0,003675866
2007;8;0,114761681;0,112130852;0,112190778;56;01/08/2007;-0,009085504
2007;9;0,112101146;0,109240857;0,109165031;57;01/09/2007;-0,01467673
2007;10;0,104280254;0,101375939;0,101298627;58;01/10/2007;-0,02188562
2007;11;0,102465294;0,099215854;0,098719375;59;01/11/2007;-0,02452206
2007;12;0,102835275;0,098582625;0,097402891;60;01/12/2007;-0,0194231
2008;1;0,105793092;0,103377942;0,102725687;61;01/01/2008;-0,0100598
2008;2;0,170304122;0,160115907;0,157329172;62;01/02/2008;0,01489603
2008;3;0,274197481;0,269860719;0,260184448;63;01/03/2008;0,03399967
2008;4;0,23486263;0,242759363;0,23859756;64;01/04/2008;0,03099544
2008;5;0,18073747;0,185560054;0,186721957;65;01/05/2008;0,0144516
2008;6;0,166698096;0,17028823;0,171967163;66;01/06/2008;0,003715767
2008;7;0,156219937;0,159218292;0,161370147;67;01/07/2008;-0,003675866
2008;8;0,14772744;0,149952556;0,150293398;68;01/08/2008;-0,009085504
2008;9;0,139310494;0,140780351;0,141090801;69;01/09/2008;-0,01467673
2008;10;0,131771417;0,132798213;0,13317487;70;01/10/2008;-0,02188562
2008;11;0,131227304;0,133504771;0,133379919;71;01/11/2008;-0,02452206
2008;12;0,155443229;0,157261222;0,155291986;72;01/12/2008;-0,0194231
2009;1;0,155185572;0,156129152;0,152883065;73;01/01/2009;-0,0100598
2009;2;0,250773301;0,245652788;0,240052052;74;01/02/2009;0,01489603
2009;3;0,287427629;0,276089858;0,270887712;75;01/03/2009;0,03399967
2009;4;0,210744961;0,204479587;0,200948478;76;01/04/2009;0,03099544
2009;5;0,182969504;0,176978779;0,174545554;77;01/05/2009;0,0144516
2009;6;0,17155774;0,166401504;0,164582006;78;01/06/2009;0,003715767
2009;7;0,163235128;0,159012719;0,157817719;79;01/07/2009;-0,003675866
2009;8;0,155294575;0,151563086;0,150672584;80;01/08/2009;-0,009085504
2009;9;0,14868118;0,145580182;0,144015466;81;01/09/2009;-0,01467673
2009;10;0,14257737;0,139298042;0,137095644;82;01/10/2009;-0,02188562
2009;11;0,133369057;0,130290354;0,129203533;83;01/11/2009;-0,02452206
2009;12;0,135977112;0,132315044;0,131360018;84;01/12/2009;-0,0194231
2010;1;0,135294471;0,131857743;0,129819646;85;01/01/2010;-0,0100598
2010;2;0,134521359;0,13219553;0,131248254;86;01/02/2010;0,01489603
2010;3;0,151928321;0,141910206;0,143313731;87;01/03/2010;0,03399967
2010;4;0,187719323;0,177667479;0,175607103;88;01/04/2010;0,03099544
2010;5;0,163165228;0,158342651;0,155500877;89;01/05/2010;0,0144516
2010;6;0,14765534;0,1434356;0,142019581;90;01/06/2010;0,003715767
2010;7;0,141117597;0,138166358;0,137628659;91;01/07/2010;-0,003675866
2010;8;0,139113213;0,135441237;0,134990884;92;01/08/2010;-0,009085504
2010;9;0,13411594;0,13181216;0,130492194;93;01/09/2010;-0,01467673
2010;10;0,121713393;0,119663525;0,119311222;94;01/10/2010;-0,02188562
2010;11;0,120959301;0,116757583;0,114988098;95;01/11/2010;-0,02452206
2010;12;0,144718677;0,13567536;0,13228661;96;01/12/2010;-0,0194231
2011;1;0,280635914;0,262366038;0,253552787;97;01/01/2011;-0,0100598
2011;2;0,365338828;0,348064339;0,341815868;98;01/02/2011;0,01489603
2011;3;0,347274062;0,334780046;0,329635857;99;01/03/2011;0,03399967
2011;4;0,325309968;0,317419092;0,314266228;100;01/04/2011;0,03099544
2011;5;0,287507122;0,287549839;0,287436901;101;01/05/2011;0,0144516
2011;6;0,243697208;0,242120721;0,243067066;102;01/06/2011;0,003715767
2011;7;0,209139791;0,208392749;0,210148335;103;01/07/2011;-0,003675866
